symbol,start_time,end_time,timeframe,open,high,low,close,volume,vah,val,mid,vpoc,kurtosis,skewness,profile_shape,volume_spike_ratio,hvns,lvns,untested_vpocs,vwap,profile_distribution,open_prev_profile,close_prev_profile,poor_high,poor_low
ESS,2025-04-01 09:15:00,2025-04-01 09:29:00,15min,5639.5,5648.0,5637.5,5646.75,5825.0,5645.75,5640.25,5642.75,5643.875,-0.523602514716154,-0.14343025190426825,double-distro,0.82,[5638.25],"[5641.37, 5644.88]","[5633.375, 5657.625, 5651.125, 5643.875]",5642.8266,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 09:30:00,2025-04-01 09:44:00,15min,5646.75,5652.25,5644.5,5651.5,3702.0,5650.25,5644.5,5648.375,5647.875,-0.6147903415007971,0.2881367997795914,double-distro,0.59,[],[5649.5],"[5633.375, 5657.625, 5643.875, 5647.875]",5648.7206,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 09:45:00,2025-04-01 09:59:00,15min,5651.5,5654.5,5648.0,5653.75,3034.0,5654.75,5651.0,5651.25,5653.375,-1.4539787532971489,-0.2632921338166049,double-distro,1.22,[5648.25],[5651.12],"[5633.375, 5657.625, 5643.875, 5653.375]",5652.0553,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 10:00:00,2025-04-01 10:14:00,15min,5653.75,5657.5,5652.0,5653.25,3892.0,5657.0,5653.75,5654.75,5655.375,-0.6564500670377775,0.229189051554265,normal,0.38,[],[],"[5633.375, 5643.875, 5655.375]",5655.2249,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 10:15:00,2025-04-01 10:29:00,15min,5653.25,5657.5,5653.0,5655.25,3112.0,5657.25,5654.5,5655.25,5656.625,-1.7011682363511724,-0.07596901069631389,P-shape,0.29,[],[],"[5633.375, 5643.875, 5656.625]",5655.5132,{},Below VAL,Within Value Area,False,False
ESS,2025-04-01 10:30:00,2025-04-01 10:44:00,15min,5655.25,5662.75,5654.5,5661.75,4669.0,5662.25,5658.25,5658.625,5661.375,-0.4513237767036413,-0.7787685914319192,double-distro,0.42,[5655.5],[5657.5],"[5633.375, 5643.875, 5661.375]",5659.2287,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 10:45:00,2025-04-01 10:59:00,15min,5662.0,5663.5,5658.75,5659.5,3968.0,5662.75,5660.0,5661.125,5661.375,-0.7848401329337298,-0.00028238722188431316,normal,0.9,[],[],"[5633.375, 5643.875, 5661.375]",5661.1771,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 11:00:00,2025-04-01 11:14:00,15min,5659.5,5660.5,5639.0,5642.5,14947.0,5656.75,5643.75,5649.75,5652.375,-1.6161603817875903,-0.0961326006914541,double-distro,0.61,"[5643.19, 5641.83]",[5647.62],"[5633.375, 5661.375, 5652.375]",5648.9689,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 11:15:00,2025-04-01 11:29:00,15min,5642.75,5646.0,5635.0,5635.5,6232.0,5645.0,5639.25,5640.5,5642.375,0.06516745519705935,-0.7769481000713673,double-distro,1.02,[5636.25],[5638.88],"[5633.375, 5661.375, 5652.375, 5642.375]",5640.8058,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 11:30:00,2025-04-01 11:44:00,15min,5635.25,5638.0,5623.25,5632.25,11585.0,5634.75,5627.5,5630.625,5630.625,0.4924883584050086,-0.0956311704721053,normal,0.78,"[5624.5, 5636.0]",[5627.25],"[5661.375, 5652.375, 5642.375, 5630.625]",5630.7937,{},Below VAL,Below VAL,False,False
